Subsector ID,Subsector,Sector ID,Sector,Year,Companies,Number of Employees LCI
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2018,1911,176699
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2019,1937,183307
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2020,1884,182665
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2021,1922,185654
334,"Fabricación de Equipo de Computación, Comunicación, Medición y de otros Equipos, Componentes y Accesorios Electrónicos",31-33,Industrias Manufactureras,2022,1927,183649
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2015,1243,69866
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2016,2700,147954
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2017,2749,152572
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2018,2765,157332
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2019,2613,155240
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2020,2540,160622
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2021,2565,163728
335,"Fabricación de Accesorios, Aparatos Eléctricos y Equipo de Generación de Energía Eléctrica",31-33,Industrias Manufactureras,2022,2563,162484
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2015,2482,209050
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2016,5791,452321
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2017,6226,486187
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2018,6329,500931
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2019,6742,556465
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2020,6926,600745
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2021,7137,622808
336,Fabricación de Equipo de Transporte,31-33,Industrias Manufactureras,2022,7146,621964
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2015,32156,66964
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2016,68768,139723
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2017,69057,141389
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2018,69153,144534
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2019,65284,153492
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2020,62992,170907
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2021,63179,164799
337,"Fabricación de Muebles, Colchones y Persianas",31-33,Industrias Manufactureras,2022,63242,164643
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2015,18320,82062
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2016,37641,167415
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2017,38088,167241
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2018,38114,169559
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2019,40025,174224
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2020,42600,183337
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2021,42539,185787
339,Otras Industrias Manufactureras,31-33,Industrias Manufactureras,2022,42587,185351
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2015,31040,409472
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2016,51001,675628
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2017,52961,721805
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2018,53515,770602
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2019,54387,778752
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2020,54804,772098
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2021,54455,794016
431,"Comercio al por Mayor de Abarrotes, Alimentos, Bebidas, Hielo y Tabaco",43,Comercio al por Mayor,2022,54806,797091
432,Comercio al por Mayor de Productos Textiles y Calzado,43,Comercio al por Mayor,2015,6362,21976
