State ID,State,Year,Sector ID,Sector,Investment
2,Baja California,2002,23,Building,2.558505058288574
2,Baja California,2002,31-33,Manufacturing Industries,803.2665710449219
2,Baja California,2002,43,To the Wholesale Trade,14.885581970214844
2,Baja California,2002,46,Retail Trade,56.37914276123047
2,Baja California,2002,48-49,Transportation and Storage,135.4467525780201
2,Baja California,2002,51,Mass Media Information,150.4420623779297
2,Baja California,2002,52,Financial and Insurance Services,136.628662109375
2,Baja California,2002,53,Real Estate and Rental Services of Furniture and Intangible Assets,9.774848937988281
2,Baja California,2002,54,"Services Professionals, Scientists and Technicals",-0.08266399800777435
2,Baja California,2002,56,Support Services to Business and Waste Management and Waste and Remediation Services,17.917173385620117
2,Baja California,2002,71,"Leisure and Cultural Services, Sports, and other Recreational Services",-7.798182010650635
2,Baja California,2002,72,Temporary Accommodation and Food Preparation and Drinks,89.83049011230469
2,Baja California,2003,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",0.31928399205207825
2,Baja California,2003,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",3.752474069595337
2,Baja California,2003,23,Building,2.0408289432525635
2,Baja California,2003,31-33,Manufacturing Industries,759.5292205810547
2,Baja California,2003,43,To the Wholesale Trade,40.796512603759766
2,Baja California,2003,46,Retail Trade,18.691268920898438
2,Baja California,2003,48-49,Transportation and Storage,57.47432589530945
2,Baja California,2003,51,Mass Media Information,95.06079864501953
2,Baja California,2003,52,Financial and Insurance Services,26.56049346923828
2,Baja California,2003,53,Real Estate and Rental Services of Furniture and Intangible Assets,2.8110740184783936
2,Baja California,2003,54,"Services Professionals, Scientists and Technicals",0.5519289970397949
2,Baja California,2003,56,Support Services to Business and Waste Management and Waste and Remediation Services,-19.260332107543945
2,Baja California,2003,71,"Leisure and Cultural Services, Sports, and other Recreational Services",9.710064888000488
2,Baja California,2003,72,Temporary Accommodation and Food Preparation and Drinks,86.4877700805664
2,Baja California,2003,81,Other Services except Government Activities,0.24013300240039825
2,Baja California,2004,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",0.06355000287294388
2,Baja California,2004,21,Mining,0.025987999513745308
2,Baja California,2004,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-9.690953254699707
2,Baja California,2004,23,Building,20.11613655090332
2,Baja California,2004,31-33,Manufacturing Industries,958.6154670715332
2,Baja California,2004,43,To the Wholesale Trade,24.27422332763672
2,Baja California,2004,46,Retail Trade,26.130491256713867
2,Baja California,2004,48-49,Transportation and Storage,42.05807280540466
2,Baja California,2004,51,Mass Media Information,63.432167053222656
2,Baja California,2004,52,Financial and Insurance Services,146.22543334960938
2,Baja California,2004,53,Real Estate and Rental Services of Furniture and Intangible Assets,2.1970438957214355
2,Baja California,2004,54,"Services Professionals, Scientists and Technicals",2.630474090576172
2,Baja California,2004,56,Support Services to Business and Waste Management and Waste and Remediation Services,2.491386890411377
2,Baja California,2004,62,Health and Social Assistance Services,4.161890983581543
2,Baja California,2004,71,"Leisure and Cultural Services, Sports, and other Recreational Services",0.013256999664008617
2,Baja California,2004,72,Temporary Accommodation and Food Preparation and Drinks,82.86517333984375
2,Baja California,2004,81,Other Services except Government Activities,0.0061079999431967735
2,Baja California,2005,11,"Agriculture, Animal Husbandry and Exploitation, Forestry, Fishing and Hunting",0.11526600271463394
2,Baja California,2005,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-0.9743679761886597
